Name,Postcode,URL
A J & C I Snell,HR2 8JS,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4XWE17J3CL7C
Abbey Home Farm,GL7 5HF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4YACVELJR9O4
AE Banks & Son Ltd,YO61 4AF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7631PLUJI7U7
Amelia Trust Farm,CF62 3AS,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A34B0EM72Y9DT
Apley Farm Shop,TF11 9EF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A1C8CYNVR1UAA
Ardardan Estate,G82 5HD,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7PA23O2Q656M
Ash Tree Farm,DE6 3AL,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7AFMSWAN9XA9
Askham Bryan College,YO23 3FR,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6XO1R51RSTHP
Asney Park Farm,LL13 0DS,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3CY2D2RWOMFA
Awnells Farm,GL19 4QB,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6V7AOXZDOWA3
B R Brooks & Son,ME13 9DA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5QEKXSAQAG2T
Badlesmere Court Farm,ME13 0NL,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A44KMH4W1GYZU
Bakers of Haselbury Plucknett,TA18 7PH,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2BJPL64S5X4B
Barleylands Farm,CM11 2UD,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A39YLYKXLILYC
Barn Farm,PO7 4QH,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4HIXDJBJFON7
Barr Farm,LN4 4BP,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A72ZRP62D3WBX
Bassettwood Farm,DE6 1RD,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A384Y3CM4V45U
Beauvale Abbey Farm,NG16 2AA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7DOFEUWYZ437
Bent Farm,DE6 1RD,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A71PNZLMQP3UA
Betty's Farm,DE65 6BW,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3BGE0ODNHXTR
Biddenden Vineyards,TN27 8DF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2NEDWK0HPFF5
Bineham City Farm,TA10 9JF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A769BAISDZRTD
Birchfield Farm,HG3 4JS,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2D7W3CRNOMMA
Bosavern Community Farm,TR19 7RD,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3BIPEGWJU4X5
Boston Park Farm (ONLY OPEN 31ST MAY 2015),DN76DS,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A31EBM7FF6C5W
Boundary Farm,LE9 4LT,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7N38UTNF2AA8
Bowes Farms Limited,IP25 7AF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A75V0XF6P629Q
Brattleby Farm,LN1 2SQ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3ZUUDJD9NIUQ
Briddlesford Lodge Farm,PO33 4RY,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7P11QXCX9TVM
Broadlands Farm,EX23 0BY,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A67FZCH5C8K3A
Broom House Farm,DH7 6TR,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6UIRC6SDQWAQ
Browns of Stagsden,MK43 8SQ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6M610XRAK0UE
Brynmawr Farm,SY7 8QU,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3SMJ86CXTYRI
Burden Bros - Old Rides Farm,ME12 4BD,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A38GKK6HVH3XN
Penlan Uchaf Farm,SA17 5AF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A1C00F57XBJK3
Burwash Manor,CB23 7EY,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3YRNHQKJJOYT
Butlers Road Farm,CV36 5LQ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4RCXYEJUWKQS
Cairnton Farm,AB31 4QP,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7BT9YJ7QM4IP
Camel Community Supported Agriculture,PL30 3EF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7DDS7H7JEN55
Cappleside Farm,BD24 0LJ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6D57GZUZWQ1G
Carr House Farm,YO25 8BS,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4B9VBA8F7I3M
Carreg-y-llech,CH7 4 NZ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6NOTWRG92QX8
Castleton Farm,AB30 1JX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2X4NUY76U3KK
CE Holt & Partners,PO18 0JQ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4FKUJUQZRYPO
Chapman Farms Ltd,NR29 4PT,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5E7UVCXPNW6R
